iter	RMSE
0	0.9761236241
1	0.9410071981
2	0.9111101948
3	0.8862978412
4	0.8607028814
5	0.8377199731
6	0.8166072248
7	0.7964531758
8	0.7786713516
9	0.7637717996
10	0.7520773415
11	0.7397473619
12	0.7283624351
13	0.7188358075
14	0.7101383353
15	0.7034601201
16	0.6960489083
17	0.6897274621
18	0.6834932953
19	0.6785531331
20	0.6736909783
21	0.66966617
22	0.6658066493
23	0.6622917054
24	0.6603682048
25	0.6583015323
26	0.655445
27	0.6533883907
28	0.651526902
29	0.6497255977
30	0.6483153054
31	0.6464276004
32	0.6449059003
33	0.6437604058
34	0.6424099781
35	0.6413412273
36	0.6407126937
37	0.639619335
38	0.6391747477
39	0.6381963123
40	0.637486638
41	0.6367949126
42	0.6362516951
43	0.6358547264
44	0.6351813965
45	0.6347730208
46	0.63411937
47	0.6336572781
48	0.6333717668
49	0.6328900536
50	0.6325308928
51	0.6322000519
52	0.631894406
53	0.6316697684
54	0.6314285602
55	0.6311080219
56	0.6308604698
57	0.6306182123
58	0.6303965042
59	0.6302379043
60	0.6299443521
61	0.6297735618
62	0.6297187796
63	0.6293995455
64	0.6291858973
65	0.6289435031
66	0.6288907897
67	0.6285140731
68	0.6284262596
69	0.6280611197
70	0.6279102296
71	0.6275491488
72	0.6274261158
73	0.6272792317
74	0.6271926441
75	0.6271860101
76	0.6271794891
77	0.6263360275
78	0.6262303789
79	0.6260299109
80	0.6259275347
81	0.6258036701
82	0.6254374184
83	0.6251321276
84	0.6249722577
85	0.624689605
86	0.6244929096
87	0.6243042668
88	0.623916209
89	0.6236625954
90	0.6234522449
91	0.6234522441
92	0.6232353605
93	0.6231621923
94	0.623030992
95	0.6229267822
96	0.6228862576
97	0.6226831696
98	0.6225776413
99	0.6223393481
100	0.6222031134
101	0.6221338978
102	0.6219578459
103	0.6215723833
104	0.6215500372
105	0.6212926759
106	0.6209613415
107	0.6209037918
108	0.6207510816
109	0.6207082096
110	0.6206613672
111	0.6205697485
112	0.6204308023
113	0.6204298797
114	0.6203340425
115	0.6200411716
116	0.6199875198
117	0.6194280091
118	0.6192905881
119	0.6192529878
120	0.619140972
121	0.6189933359
122	0.6188770794
123	0.6188030108
124	0.6187508483
125	0.6184883177
126	0.6184721217
127	0.6183421353
128	0.6178991289
129	0.6178129051
130	0.6176759011
131	0.6173062831
132	0.6170107829
133	0.6168051871
134	0.6167598369
135	0.6166772523
136	0.6165255659
137	0.6165255603
138	0.6163406357
139	0.6158832682
140	0.6157005478
141	0.6152834936
142	0.6151266855
143	0.6149930065
144	0.6149550996
145	0.6148762625
146	0.6145800317
147	0.6145440002
148	0.6144594982
149	0.6143880831
150	0.6143510042
151	0.6142352929
152	0.6141840055
153	0.6137545026
154	0.6137429634
155	0.6136375878
156	0.6135156634
157	0.6133126615
158	0.6131227516
159	0.6128253581
160	0.6127394589
161	0.6126940295
162	0.612445626
163	0.612203947
164	0.6119117992
165	0.6116023788
166	0.6115278799
167	0.6112732371
168	0.6110630678
169	0.6107056279
170	0.6106564043
171	0.6105737339
172	0.6104365844
173	0.610427044
174	0.6103730311
175	0.6101694297
176	0.6101610571
177	0.6101258586
178	0.6100739435
179	0.6099160293
180	0.6096452537
181	0.6095525657
182	0.6093609831
183	0.6093016889
184	0.6092420216
185	0.6092139077
186	0.6091346787
187	0.6089877198
188	0.6088373036
189	0.6087877204
190	0.6085375508
191	0.6083699463
192	0.6082422401
193	0.6080732658
194	0.6077441739
195	0.6076189723
196	0.6075059328
197	0.6073026061
198	0.6069841888
199	0.6068524153
200	0.6066693842
201	0.6064095889
202	0.606301376
203	0.606059829
204	0.6059459217
205	0.6057900365
206	0.6055840459
207	0.6052835407
208	0.6051630396
209	0.6050216408
210	0.6047498973
211	0.6047424315
212	0.6045979409
213	0.6044110935
214	0.6041580453
215	0.6040846944
216	0.604025027
217	0.603941143
218	0.6038035381
219	0.6035297793
220	0.6032841063
221	0.6031863336
222	0.6029525448
223	0.6028210821
224	0.6026989682
225	0.6024432386
226	0.6023719727
227	0.6023132421
228	0.6022204437
229	0.6021196039
230	0.6020753725
231	0.6020176738
232	0.6018367548
233	0.6017009252
234	0.601255809
235	0.6008736962
236	0.6003776559
237	0.6000892509
238	0.5999679908
239	0.599717781
240	0.5996199289
241	0.5996095021
242	0.5996032635
243	0.5994795623
244	0.5992583001
245	0.5992462068
246	0.5990134084
247	0.5987946911
248	0.5987923203
249	0.5986027562
250	0.5984555072
251	0.5983412374
252	0.5979800019
253	0.5979365135
254	0.5976768844
255	0.5975532728
256	0.5971832125
257	0.5971633338
258	0.5971043071
259	0.5970637479
260	0.5970551324
261	0.5968985739
262	0.5966651657
263	0.5965416695
264	0.596225149
265	0.5961536536
266	0.5960752684
267	0.5959114625
268	0.5958453579
269	0.5957766533
270	0.5955643532
271	0.5954240444
272	0.5953161522
273	0.5952754221
274	0.5951242072
275	0.5951037751
276	0.5946061925
277	0.594576303
278	0.5943517884
279	0.5940999425
280	0.5938450522
281	0.5936636153
282	0.593614669
283	0.5935857861
284	0.5935568936
285	0.5933971826
286	0.5933390851
287	0.5930751579
288	0.5929456033
289	0.5929211903
290	0.5929041845
291	0.5926905407
292	0.5926277019
293	0.5926095854
294	0.5924227181
295	0.5923927803
296	0.5922610685
297	0.5920610355
298	0.5920472481
299	0.5917743327
300	0.5914362653
301	0.5912533191
302	0.591046248
303	0.5910319365
304	0.5909652519
305	0.590942644
306	0.5907074838
307	0.590512554
308	0.5902207601
309	0.5901617901
310	0.5899684878
311	0.5899593731
312	0.5898659299
313	0.589688728
314	0.5895534614
315	0.5893814779
316	0.5893114988
317	0.5892843842
318	0.5892752735
319	0.5891470642
320	0.5891115932
321	0.5888098687
322	0.5887913388
323	0.5885853726
324	0.5884641572
325	0.5884002444
326	0.5882812465
327	0.5881172559
328	0.5880417721
329	0.587891915
330	0.5877203862
331	0.5876481898
332	0.5875220383
333	0.5873607721
334	0.5872103921
335	0.5871265835
336	0.5870318594
337	0.5869725736
338	0.586961264
339	0.5867371495
340	0.5866829674
341	0.5866138326
342	0.586555624
343	0.5862521748
344	0.585929597
345	0.5857605907
346	0.5856244896
347	0.585525664
348	0.5854550577
349	0.5853812537
350	0.5853287186
351	0.585227366
352	0.5850815802
353	0.5850453812
354	0.584927431
355	0.584896256
356	0.584885066
357	0.5848709682
358	0.5847179108
359	0.5845265822
360	0.5844642476
361	0.5843735729
362	0.5841329742
363	0.584101371
364	0.5838858171
365	0.5835568698
366	0.5834780058
367	0.5832244722
368	0.5832142126
369	0.5827456591
370	0.5827269395
371	0.5826965498
372	0.5826284353
373	0.582519869
374	0.5824843375
375	0.5824507342
376	0.5824255541
377	0.5822751518
378	0.582234134
379	0.5820897696
380	0.5819815684
381	0.5819117871
382	0.5815951105
383	0.5814555604
384	0.5812192587
385	0.581007022
386	0.5809160158
387	0.5805623721
388	0.5803647631
389	0.5802871406
390	0.579953427
391	0.5798071525
392	0.5796750709
393	0.5795495579
394	0.5795372658
395	0.5792113087
396	0.5790329036
397	0.5789262745
398	0.5786163176
399	0.5781800877
400	0.5780490134
401	0.5779949472
402	0.5778780546
403	0.5778651577
404	0.577812721
405	0.5777351408
406	0.5776905976
407	0.5775924809
408	0.5775498742
409	0.5774260514
410	0.5772145294
411	0.5771677471
412	0.5768854261
413	0.5768043812
414	0.5767998625
415	0.5767211221
416	0.5766283525
417	0.576325177
418	0.5760114356
419	0.5759002054
420	0.5757045081
421	0.5756783312
422	0.5756720369
423	0.5754267039
424	0.5752197536
425	0.5748833116
426	0.5747489819
427	0.5747194817
428	0.5745658874
429	0.5741528508
430	0.57409417
431	0.573968744
432	0.5737064151
433	0.5735823618
434	0.5734049557
435	0.5731592055
436	0.5731172169
437	0.5730732275
438	0.5729247747
439	0.5729093232
440	0.5727335029
441	0.5725495988
442	0.5725349573
443	0.5724772017
444	0.5721903093
445	0.5721811121
446	0.5719856676
447	0.5719475993
448	0.5719242836
449	0.5718019666
450	0.5717645905
451	0.571201486
452	0.570835983
453	0.5705307721
454	0.5700881972
455	0.5699162462
456	0.5697810253
457	0.5696175047
458	0.5694538739
459	0.5692864986
460	0.5692090146
461	0.5690144898
462	0.5688314776
463	0.5687436515
464	0.5685060358
465	0.5683588793
466	0.5683361407
467	0.568213636
468	0.5680730018
469	0.5679024499
470	0.5676311924
471	0.5676034311
472	0.5674758955
473	0.5673047705
474	0.5671622246
475	0.5671288079
476	0.5669800938
477	0.5668900031
478	0.5667165172
479	0.5666441856
480	0.5666099188
481	0.5665409123
482	0.5663730467
483	0.566253861
484	0.5660699302
485	0.5658928275
