iter	Passed	Remaining
0	25	25312
1	41	20460
2	55	18546
3	69	17226
4	80	16053
5	87	14550
6	94	13423
7	102	12734
8	111	12290
9	124	12289
10	129	11654
11	139	11458
12	148	11296
13	155	10976
14	167	11010
15	178	10962
16	186	10776
17	194	10583
18	205	10630
19	220	10788
20	234	10938
21	251	11172
22	267	11353
23	277	11275
24	285	11120
25	295	11082
26	309	11165
27	321	11171
28	333	11181
29	346	11199
30	360	11254
31	375	11373
32	393	11540
33	410	11667
34	425	11732
35	439	11763
36	452	11776
37	468	11863
38	473	11671
39	488	11734
40	503	11768
41	518	11818
42	531	11819
43	545	11857
44	556	11819
45	577	11966
46	589	11947
47	604	11986
48	621	12070
49	635	12081
50	649	12089
51	670	12227
52	681	12178
53	695	12183
54	708	12178
55	719	12129
56	735	12160
57	749	12170
58	764	12192
59	778	12195
60	790	12165
61	801	12132
62	814	12108
63	829	12128
64	840	12090
65	857	12128
66	874	12183
67	897	12294
68	912	12316
69	923	12273
70	933	12208
71	943	12158
72	953	12103
73	967	12103
74	981	12105
75	986	11997
76	990	11878
77	1004	11875
78	1017	11857
79	1031	11864
80	1038	11781
81	1049	11748
82	1056	11668
83	1066	11631
84	1079	11618
85	1092	11607
86	1101	11563
87	1114	11551
88	1127	11540
89	1143	11565
90	1159	11579
91	1163	11483
92	1175	11464
93	1187	11445
94	1199	11425
95	1214	11433
96	1225	11410
97	1243	11446
98	1257	11447
99	1273	11461
100	1285	11439
101	1296	11416
102	1311	11419
103	1321	11382
104	1326	11310
105	1337	11278
106	1351	11277
107	1366	11285
108	1378	11266
109	1391	11260
110	1402	11231
111	1416	11233
112	1431	11235
113	1434	11151
114	1453	11182
115	1469	11200
116	1490	11251
117	1509	11284
118	1529	11324
119	1546	11338
120	1566	11379
121	1590	11447
122	1611	11492
123	1618	11432
124	1631	11421
125	1644	11407
126	1656	11388
127	1667	11358
128	1681	11353
129	1694	11341
130	1709	11339
131	1720	11314
132	1728	11264
133	1742	11260
134	1753	11237
135	1764	11211
136	1776	11193
137	1778	11109
138	1788	11075
139	1797	11042
140	1812	11040
141	1822	11014
142	1835	11001
143	1850	11002
144	1866	11005
145	1877	10982
146	1891	10973
147	1904	10962
148	1916	10946
149	1926	10916
150	1935	10883
151	1953	10897
152	1965	10881
153	1979	10876
154	1988	10840
155	1999	10818
156	2012	10804
157	2021	10773
158	2035	10767
159	2047	10751
160	2060	10735
161	2071	10713
162	2083	10698
163	2102	10717
164	2118	10721
165	2134	10724
166	2146	10707
167	2155	10676
168	2171	10678
169	2190	10696
170	2205	10690
171	2218	10680
172	2229	10657
173	2239	10630
174	2253	10622
175	2266	10609
176	2283	10618
177	2297	10610
178	2313	10609
179	2323	10585
180	2333	10558
181	2344	10538
182	2358	10530
183	2368	10503
184	2381	10490
185	2390	10459
186	2397	10424
187	2411	10413
188	2418	10378
189	2429	10359
190	2441	10339
191	2450	10313
192	2464	10303
193	2481	10307
194	2497	10308
195	2511	10301
196	2525	10293
197	2541	10292
198	2557	10294
199	2573	10294
200	2590	10297
201	2609	10307
202	2626	10313
203	2645	10321
204	2660	10318
205	2677	10318
206	2692	10314
207	2713	10330
208	2725	10316
209	2739	10304
210	2758	10313
211	2769	10292
212	2783	10286
213	2795	10267
214	2805	10244
215	2816	10221
216	2824	10190
217	2833	10165
218	2843	10141
219	2853	10116
220	2864	10095
221	2878	10086
222	2889	10066
223	2901	10051
224	2912	10030
225	2918	9996
226	2928	9973
227	2948	9982
228	2958	9961
229	2966	9931
230	2976	9910
231	2986	9885
232	2995	9859
233	3007	9845
234	3017	9821
235	3028	9804
236	3041	9791
237	3049	9762
238	3058	9739
239	3067	9714
240	3083	9711
241	3094	9692
242	3104	9672
243	3112	9643
244	3129	9645
245	3142	9631
246	3154	9616
247	3172	9618
248	3181	9595
249	3200	9601
250	3216	9599
251	3232	9595
252	3251	9599
253	3262	9583
254	3281	9587
255	3300	9592
256	3314	9583
257	3331	9581
258	3343	9564
259	3357	9556
260	3369	9540
261	3385	9536
262	3397	9519
263	3409	9504
264	3422	9492
265	3439	9490
266	3454	9484
267	3470	9480
268	3489	9483
269	3504	9474
270	3520	9470
271	3535	9461
272	3544	9440
273	3555	9420
274	3566	9401
275	3575	9380
276	3585	9358
277	3595	9336
278	3605	9316
279	3615	9296
280	3629	9287
281	3641	9270
282	3649	9246
283	3658	9223
284	3665	9196
285	3677	9182
286	3688	9162
287	3697	9140
288	3713	9135
289	3722	9113
290	3732	9093
291	3745	9080
292	3751	9052
293	3763	9036
294	3776	9024
295	3786	9004
296	3801	8998
297	3813	8983
298	3830	8980
299	3845	8973
300	3860	8964
301	3875	8956
302	3891	8951
303	3906	8944
304	3928	8952
305	3939	8934
306	3951	8920
307	3960	8898
308	3970	8878
309	3977	8853
310	3984	8826
311	3989	8796
312	3997	8774
313	4006	8751
314	4013	8728
315	4021	8704
316	4028	8678
317	4033	8650
318	4042	8629
319	4050	8606
320	4056	8579
321	4063	8556
322	4069	8529
323	4082	8518
324	4094	8504
325	4103	8483
326	4119	8479
327	4136	8474
328	4148	8460
329	4159	8445
330	4171	8430
331	4191	8433
332	4203	8418
333	4220	8415
334	4229	8395
335	4241	8381
336	4250	8362
337	4260	8344
338	4269	8324
339	4279	8307
340	4289	8290
341	4296	8266
342	4313	8261
343	4326	8251
344	4342	8244
345	4358	8239
346	4373	8229
347	4387	8220
348	4399	8206
349	4413	8197
350	4428	8188
351	4446	8185
352	4463	8180
353	4477	8171
354	4495	8167
355	4512	8163
356	4525	8151
357	4544	8149
358	4568	8157
359	4591	8161
360	4605	8151
361	4622	8147
362	4640	8142
363	4646	8118
364	4656	8101
365	4667	8085
366	4681	8074
367	4689	8053
368	4701	8040
369	4717	8032
370	4726	8013
371	4737	7997
372	4747	7980
373	4759	7966
374	4770	7950
375	4781	7935
376	4790	7917
377	4801	7900
378	4809	7880
379	4819	7863
380	4829	7846
381	4839	7828
382	4848	7811
383	4863	7801
